,ISO 3166-1 numeric code,Location,pop1950,pop1955,pop1960,pop1965,pop1970,1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015
183,438,Liechtenstein,13.758,14.831,16.495,18.649,21.265,23.432,25.866,27.257,28.747,30.833,33.286,34.852,36.003,37.403
184,442,Luxembourg,296.001,305.261,314.588,330.161,339.668,353.983,364.038,366.884,381.791,408.149,436.103,457.842,507.889,566.741
185,492,Monaco,19.996,19.655,22.452,23.282,23.484,25.197,26.745,28.835,29.439,30.691,32.082,33.793,37.094,38.307
186,528,Netherlands,10 042.043,10 709.630,11 448.817,12 248.344,13 001.943,13 683.291,14 148.415,14 513.949,14 965.448,15 467.851,15 926.188,16 367.158,16 682.917,16 938.499
187,756,Switzerland,4 668.086,4 970.806,5 296.118,5 829.956,6 169.358,6 356.185,6 303.610,6 456.224,6 674.890,7 018.525,7 167.250,7 410.308,7 831.971,8 319.769
188,904,Latin America and the Caribbean,168 917.693,193 223.682,221 050.541,253 378.160,288 077.452,325 267.485,364 284.305,405 059.621,445 919.209,486 862.562,525 794.973,561 655.871,597 561.530,632 380.831
189,915,Caribbean,17 075.671,18 796.503,20 722.931,23 082.713,25 309.989,27 641.021,29 772.038,31 948.027,34 237.274,36 423.237,38 403.986,40 115.790,41 724.731,43 309.611
190,660,Anguilla,5.118,5.7,5.864,6.12,6.403,6.629,6.702,6.662,8.334,9.802,11.07,12.638,13.769,14.611
191,28,Antigua and Barbuda,46.303,52.897,55.339,60.781,67.098,71.609,73.442,69.782,66.696,73.619,83.584,89.253,94.661,99.923
192,533,Aruba,38.068,43.724,54.211,57.36,59.063,60.657,60.096,63.026,62.149,80.324,90.853,100.031,101.669,104.341
193,44,Bahamas,79.085,88.617,109.528,140.054,169.354,188.882,210.661,234.687,256.336,280.15,297.89,329.249,360.832,386.838
194,52,Barbados,210.992,227.073,230.939,235.374,238.848,246.034,252.194,255.924,260.374,264.959,269.847,274.009,279.569,284.217
195,92,British Virgin Islands,7.44,7.684,8.033,8.814,9.803,10.476,11.002,13.304,16.461,18.427,20.645,23.168,27.224,30.113
196,535,Caribbean Netherlands,7.122,7.67,8.074,9.134,10.359,11.027,11.21,12.025,13.019,15.107,14.393,14.403,20.94,24.57
197,136,Cayman Islands,6.417,6.677,7.865,8.369,9.144,12.244,16.162,19.313,25.01,31.672,41.687,48.622,55.507,59.963
198,192,Cuba,5 919.993,6 539.469,7 141.135,7 951.933,8 715.123,9 438.442,9 835.177,10 082.989,10 582.081,10 906.043,11 150.736,11 284.253,11 333.051,11 461.432
199,531,Curaçao,100.179,116.916,126.941,133.878,143.634,150.258,147.996,150.377,146.671,143.884,132.099,129.394,147.608,158.01
200,212,Dominica,51.1,54.56,60.011,65.038,71.073,72.094,75.314,73.643,70.926,71.368,69.676,70.627,71.44,73.162
201,214,Dominican Republic,2 364.654,2 780.652,3 294.042,3 878.948,4 503.114,5 149.935,5 809.269,6 488.856,7 183.647,7 892.423,8 562.622,9 237.566,9 897.985,10 528.394
202,308,Grenada,76.681,81.024,89.869,94.581,94.426,92.448,89.005,99.906,96.283,100.255,101.619,102.949,104.677,106.823
203,312,Guadeloupe,210.003,236.064,275.161,300.171,319.334,326.966,330.177,356.171,385.878,402.937,424.646,439.552,450.718,450.418
204,332,Haiti,3 221.283,3 514.074,3 866.159,4 271.133,4 708.642,5 140.357,5 688.836,6 384.195,7 099.732,7 819.806,8 549.200,9 263.404,9 999.617,10 711.061
